Year,Series,Winner,W,Loser,W,Favorite,Underdog
2004,Eastern Conf First Round,Indiana Pacers (1),4,Boston Celtics (8),0,IND (-1980),BOS (+1520)
2004,Eastern Conf First Round,Miami Heat (4),4,New Orleans Hornets (5),3,MIA (-277),NOH (+243)
2004,Eastern Conf First Round,New Jersey Nets (2),4,New York Knicks (7),0,NJN (-580),NYK (+500)
2004,Western Conf First Round,Los Angeles Lakers (2),4,Houston Rockets (7),1,LAL (-1080),HOU (+920)
2004,Western Conf First Round,Minnesota Timberwolves (1),4,Denver Nuggets (8),1,MIN (-1920),DEN (+1540)
2004,Western Conf First Round,Sacramento Kings (4),4,Dallas Mavericks (5),1,SAC (-164),DAL (+148)
2004,Western Conf First Round,San Antonio Spurs (3),4,Memphis Grizzlies (6),0,SAS (-1080),MEM (+920)
2004,Eastern Conf Semifinals,Detroit Pistons (3),4,New Jersey Nets (2),3,DET (-210),NJN (+180)
2004,Eastern Conf Semifinals,Indiana Pacers (1),4,Miami Heat (4),2,IND (-2300),MIA (+1600)
2004,Western Conf Semifinals,Los Angeles Lakers (2),4,San Antonio Spurs (3),2,SAS (-240),LAL (+200)
2004,Western Conf Semifinals,Minnesota Timberwolves (1),4,Sacramento Kings (4),3,MIN (-160),SAC (+140)
2004,Eastern Conf Finals,Detroit Pistons (3),4,Indiana Pacers (1),2,IND (-165),DET (+145)
2004,Western Conf Finals,Los Angeles Lakers (2),4,Minnesota Timberwolves (1),2,LAL (-330),MIN (+270)
2004,Finals,Detroit Pistons (3),4,Los Angeles Lakers (2),1,LAL (-700),DET (+500)
2003,Eastern Conf First Round,Boston Celtics (6),4,Indiana Pacers (3),2,IND (-340),BOS (+280)
2003,Eastern Conf First Round,Detroit Pistons (1),4,Orlando Magic (8),3,DET (-220),ORL (+180)
2003,Eastern Conf First Round,New Jersey Nets (2),4,Milwaukee Bucks (7),2,NJN (-280),MIL (+230)
2003,Eastern Conf First Round,Philadelphia 76ers (4),4,New Orleans Hornets (5),2,PHI (-179),NOH (+150)
2003,Western Conf First Round,Dallas Mavericks (3),4,Portland Trail Blazers (6),3,DAL (-400),POR (+320)
2003,Western Conf First Round,Los Angeles Lakers (5),4,Minnesota Timberwolves (4),2,LAL (-400),MIN (+320)
2003,Western Conf First Round,Sacramento Kings (2),4,Utah Jazz (7),1,SAC (-1400),UTA (+1000)
2003,Western Conf First Round,San Antonio Spurs (1),4,Phoenix Suns (8),2,SAS (-1000),PHO (+700)
2003,Eastern Conf Semifinals,Detroit Pistons (1),4,Philadelphia 76ers (4),2,PHI (-150),DET (+130)
2003,Eastern Conf Semifinals,New Jersey Nets (2),4,Boston Celtics (6),0,NJN (-380),BOS (+320)
